CNTSTUID,AGE,RESILIENCE,COMPETE,GFOFAIL,HISEI,HEDRES,PARED,SCREADCOMP,SCREADDIFF,JOYREAD,STIMREAD,TMINS,ST188Q01HA,ST188Q02HA,ST188Q03HA,ST188Q06HA,ST188Q07HA,ST183Q01HA,ST183Q02HA,ST183Q03HA,reading_fluency,ST184Q01HA
55402205,15.33,0.4558,-0.2047,-0.3498,70.5,1.1793,15,0.1222,-0.524,1.1891,1.1847,NA,3,3,3,3,4,2,3,1,16,1
55402790,15.92,2.3693,-0.2661,-1.8939,63.31,-0.3792,14,-0.4419,-1.1635,-1.352,0.2432,1800,4,4,4,4,4,1,1,1,17,2
55404033,16.25,-0.5176,1.1811,0.4637,NA,1.1793,15,0.1222,-0.524,-0.2704,-0.2288,1500,3,3,3,2,3,3,3,3,16,2
55406110,15.33,-1.5245,-0.2047,1.8905,29.73,-0.1357,15,-0.5485,1.2658,-1.3532,-0.3302,1740,4,2,1,1,2,4,4,4,16,1
55407932,15.83,0.4558,1.2643,-0.7592,81.13,-0.8449,15,1.8839,-1.8876,-1.0322,0.2751,1440,3,3,3,3,4,3,2,1,17,1
55401559,15.58,-0.8273,0.1956,1.0944,55.96,-1.8813,10,0.1222,0.409,-0.5262,-2.3003,NA,3,2,3,2,3,4,4,2,17,3
55401960,15.33,-0.0614,2.0054,-0.3799,24.45,-1.2049,10,-0.849,0.3787,-0.4556,0.5102,NA,3,3,3,3,3,2,2,3,18,2
55406891,15.33,0.7251,-0.9792,-0.3799,58.77,-0.6853,10,-0.4089,0.409,-0.1042,-0.3644,1440,4,4,3,3,3,2,2,3,15,3
55401501,16,-1.0583,-0.5707,NA,60.44,-1.4924,12,-0.4419,0.5082,-0.4081,-0.62,NA,3,2,2,2,3,3,3,NA,19,1
55407746,16.08,NA,NA,NA,68.7,-1.5216,15,-0.7391,0.9899,-0.7077,0.0236,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
55400749,15.92,-0.0614,0.1956,-0.687,24.53,-2.3391,10,-0.825,0.409,-0.7261,1.0741,NA,3,3,3,3,3,2,2,2,18,3
55402272,15.75,-1.0352,-0.8279,-0.2006,NA,NA,10,-1.0985,1.2421,-1.1538,-0.62,1500,2,3,2,2,3,3,2,3,15,2
55405547,15.33,-0.096,2.0054,0.3335,18.08,-1.2622,15,-0.8729,0.6798,-1.0555,0.7551,NA,3,4,3,2,3,4,3,2,19,2
55401043,16.08,-0.0614,0.1956,0.4637,76.65,1.1793,14,0.6994,-0.0697,0.5572,-0.6237,1440,3,3,3,3,3,3,3,3,16,2
55401769,15.83,0.8496,-0.6151,0.4637,75.5,0.0477,15,-1.4704,0.795,-1.9715,-0.3335,1620,3,3,3,4,4,3,3,3,18,2
55403043,15.67,-0.8738,-0.4112,0.4637,86.72,1.1793,15,1.8839,-1.8876,0.9011,-2.3003,1680,3,3,3,2,2,3,3,3,11,2
55405453,15.75,0.3444,0.1956,-0.687,56.57,1.1793,14,0.1222,-0.0697,-0.0872,2.0871,1400,4,3,3,3,3,2,2,2,19,1
55406008,15.5,0.8496,0.1244,0.4637,59.89,-0.1357,15,0.1919,-0.524,-0.917,-2.3003,1400,3,3,3,4,4,3,3,3,19,4
55407089,15.58,-0.4684,1.2643,-0.9295,72.27,0.0477,15,0.6994,-0.524,-0.5262,-0.1075,1440,3,3,2,3,3,1,2,2,17,2
55407235,15.58,-0.8109,-0.733,-0.13,75.5,0.0477,14,0.1222,0.409,-0.5262,-0.9225,1440,3,3,2,2,3,2,3,2,17,2
55402331,15.83,-0.4684,0.1956,-0.13,75.54,-1.2622,12,-0.825,1.2658,-0.2704,-1.2261,1320,3,3,2,3,3,2,3,2,13,3
55404337,15.58,-0.0614,0.1956,0.8207,76.65,1.1793,15,-1.0985,1.2421,-1.1285,0.5102,1740,3,3,3,3,3,4,3,3,15,3
55408055,15.67,-0.0614,0.1956,-0.687,17,-0.6444,10,0.1222,0.9065,0.523,0.5102,1250,3,3,3,3,3,2,2,2,18,2
55404619,15.42,-0.8223,-0.6151,1.1911,76.65,-0.208,14,1.2374,-0.524,2.6131,0.7551,1450,3,4,1,3,2,2,4,4,18,2
55406150,15.92,-0.4957,1.2643,0.4637,68.88,1.1793,12,0.1222,-0.524,-0.2704,-0.3644,1650,3,4,2,2,3,3,3,3,17,2
55407216,16.17,-1.0677,-0.5707,0.4637,50.57,0.031,14,-0.4089,0.409,0.1499,-1.515,1450,3,3,1,3,2,3,3,3,19,2
